,key,en-us,zh-cn,cs-cz,de-de,fr-fr,pt-br,ja-jp,ua-ua
144,server_editor_display_full_screen_flag_full_screen,Enable (single monitor),允许（单显示器）,Zapnout (jeden monitor),Aktivieren (Einzel-Monitor),Activer (moniteur unique),Ativar (monitor único),server_editor_display_full_screen_flag_full_screen,Увімкнути (один монітор)
145,server_editor_display_full_screen_flag_all_screens,Enable (multi monitors),允许（所有显示器）,Zapnout (více monitorů),Aktivieren (alle Monitore),Activer (multi-moniteurs),Ativar (vários monitores),server_editor_display_full_screen_flag_all_screens,Увімкнути (кілька моніторів)
146,Display the connection bar when use the full screen,Display the connection bar when use the full screen,全屏时显示连接栏,Ukazovat lištu připojení v režimu na celou obrazovku,"Zeigen Sie die Anschlussleiste an, wenn Sie den vollständigen Bildschirm verwenden",Afficher la barre de connexion lors de l'utilisation de l'écran complet,Exibir a barra de conexão ao usar a tela cheia,フルスクリーン使用時に接続バーを表示する,Відображення панелі підключення при використанні повноекранного режиму
147,New session always use full screen,New session always use full screen,启动会话时永远进入全屏模式,Nová relace bude vždy na celou obrazovku,Neue Sitzung Verwenden Sie immer den vollständigen Bildschirm,Connectez-vous en plein écran,Nova sessão sempre usará tela cheia,新しいセッションは常にフルスクリーンを使用します,Новий сеанс завжди використовуйте повноекранний режим
148,New session use full screen if the last session is full screen,New session use full screen if the last session is full screen,启动会话时根据上次会话决定是否进入全屏模式,Nová relace bude na celou obrazovku pokud ta předchozí také byla,"Neue Sitzung Vollbild Verwenden Sie den Vollbild, wenn die letzte Sitzung Vollbild ist",Nouvelle session Utilisez plein écran si la dernière session est en plein écran,Nova sessão usará tela cheia se a última sessão foi em tela cheia,最後のセッションが全画面表示の場合、新しいセッションは全画面表示を使用します,"Новий сеанс використовуйте повноекранний режим, якщо останній сеанс був повноекранним"
149,Resolution,Resolution,分辨率,Rozlišení,Auflösung,Résolution,Resolução,解像度,Розширення экрану
150,Fit to window,Fit to window(Supported server: Windows Server 2012 R2 and above),适应窗口大小(服务器要求Windows Server 2012 R2及以上),Přizpůsobit oknu (podporovaný server: Windows Server 2012 R2 a novější),An Fenster anpassen(Unterstützter Server: Windows Server 2012 R2 und höher),Apte à la fenêtre(Serveur pris en charge: Windows Server 2012 R2 et supérieur),Ajustar à janela (Servidor Compatível com Windows Server 2012 R2 e superior),ウィンドウに合わせる,Підгонка до вікна (Підтримуваний сервер: Windows Server 2012 R2 і вище)
151,Custom resolution (stretch),Custom resolution (stretch),自定义分辨率 (拉伸),Uživatelsky určené rozlišení (roztáhnout),Benutzerdefinierte Auflösung (Stretch),Résolution personnalisée (étirement),Resolução personalizada (esticar),カスタム解像度 (ストレッチ),Дозвіл користувача (розтягування)
152,Custom resolution (fixed),Custom resolution (fixed),自定义分辨率 (固定),Uživatelsky určené rozlišení (napevno),Benutzerdefinierte Auflösung (fixiert),Résolution personnalisée (fixe),Resolução personalizada (fixa),カスタム解像度 (固定),Дозвіл користувача (виправлено)
153,Full-screen resolution (stretch),Full-screen resolution (stretch),屏幕分辨率 (拉伸),Rozlišení v režimu celé obrazovky (roztáhnout),Vollbildauflösung (stretch),Résolution en plein écran (étirement),Resolução de tela cheia (esticar),全画面解像度 (ストレッチ),Повноекранний дозвіл (розтягування)
154,Full-screen resolution (fixed),Full-screen resolution (fixed),屏幕分辨率 (固定),Rozlišení v režimu celé obrazovky (napevno),Vollbildauflösung (fixiert),Résolution en plein écran (fixe),Resolução de tela cheia (fixa),全画面解像度（固定）,Повноекранний дозвіл (фіксований)
155,server_editor_display_rdp_performance,Performance,桌面体验,Kvalita/výkon,Leistung,server_editor_display_rdp_performance,server_editor_display_rdp_performance,server_editor_display_rdp_performance,Покращення продуктивності
156,server_editor_display_rdp_performance_auto,Auto (judged based on connection speed),自动（根据网速）,Automaticky (usouzeno na základě rychlosti připojení),Verbindungsqualität automatisch erkennen,Jugement automatique (par vitesse de connexion),Automático (com base na velocidade da conexão),server_editor_display_rdp_performance_auto,Автоматично (оцінюється на основі швидкості з'єднання)
157,server_editor_display_rdp_performance_high,High (32bit color with full feature support),高（32位色彩与所有特性）,Vysoká (32bit barvy a plná podpora vizuálních funkcí),Hoch (32bit Farbe mit voller Funktionsunterstützung),Élevé (couleur 32 bits avec prise en charge complète des fonctionnalités),Alta (cor de 32 bits com suporte completo a recursos),server_editor_display_rdp_performance_high,Високий (32-бітний колір з повною підтримкою функцій)
158,server_editor_display_rdp_performance_middle,Middle (16bit color with only font smoothing and desktop composition),中（16位色彩与字体平滑、桌面合成）,Střední (16bit barvy a pouze vyhlazování písma a kompozitor desktopu),Mittel (16bit Farbe mit nur Schriftglättung und Desktopaufbau),Milieu (couleur 16 bits avec uniquement le lissage de la police et la composition du bureau),Médio (cor de 16 bits com apenas suavização de fonte e composição da área de trabalho),server_editor_display_rdp_performance_middle,Середній (16-бітний колір тільки зі згладжуванням шрифту і композицією робочого столу)
159,server_editor_display_rdp_performance_low,Low (8bit color with no feature support),低（8位色彩无任何显示增强）,Nízká (8bit barvy bez vizuálních funkcí),Niedrig (8-Bit-Farbe ohne Unterstützung von Funktionen),Faible (couleur 8 bits sans prise en charge des fonctionnalités),Baixo (cor de 8 bits sem suporte a recursos),server_editor_display_rdp_performance_low,Низький (8-бітний колір без підтримки функцій)
160,server_editor_advantage_admin,For administering a server,连接到会话以管理服务器,Pro správu serveru,server_editor_advantage_admin,server_editor_advantage_admin,Para administrar um servidor,server_editor_advantage_admin,Для адміністрування сервера
161,server_editor_advantage_resources,Resources,共享到远程桌面,Prostředky,Ressourcen,Ressources,Recursos,server_editor_advantage_resources,Ресурси
162,server_editor_advantage_clipboard,Clipboard,剪贴板,Schránka,Zwischenablage,Presse-papiers,Área de transferência,server_editor_advantage_clipboard,Буфер обміну
163,server_editor_advantage_key_combinations,Key Combinations,组合键,Kombinace kláves,Tastenkombinationen,Combinaisons de clés,Combinações de teclas,server_editor_advantage_key_combinations,Комбінації клавіш
164,server_editor_advantage_disk_drives,Disk Drives,本地磁盘,Diskové jednotky,Laufwerke,Disques durs,Unidades de disco,server_editor_advantage_disk_drives,Присторої для зберігання інформаціх
165,server_editor_advantage_sounds,Sounds,声音,Zvuky,Ton,Sons,Sons,server_editor_advantage_sounds,Звуки
166,server_editor_advantage_sounds_disabled,Disabled,禁用,Vypnuto,server_editor_advantage_sounds_disabled,Désactivée,Desabilitado,server_editor_advantage_sounds_disabled,Вимкнений
167,server_editor_advantage_sounds_on_local,Play on local,在本地播放,Přehrávat lokálně,server_editor_advantage_sounds_on_local,Jouez en local,Rode localmente,server_editor_advantage_sounds_on_local,Увімкнути на локальному пристрої
168,server_editor_advantage_sounds_on_remote,Play on remote,在远程播放,Přehrávat na protějšku,server_editor_advantage_sounds_on_remote,Jouer à distance,Rode remotamente,server_editor_advantage_sounds_on_remote,Увімнути на віддаленому присрої
169,server_editor_advantage_audio_capture,Audio Capture,录音,Zachytávání zvuku,Audio Aufnahme,Capture audio,Captura de áudio,server_editor_advantage_audio_capture,Присрої для запису аудіо
170,server_editor_advantage_ports,Ports,端口,Porty,server_editor_advantage_ports,server_editor_advantage_ports,Portas,server_editor_advantage_ports,Порти
171,server_editor_advantage_printers,Printers,打印机,Tiskárny,Drucker,Imprimantes,Impressoras,server_editor_advantage_printers,Прінтери
172,server_editor_advantage_smart_cards,Smart Cards,智能卡,Čipové karty,Smartcards,Carte à puce,Cartões inteligentes,server_editor_advantage_smart_cards,Смарт-карти
173,server_editor_advantage_ssh_version,SSH Version,SSH Version,Verze SSH,server_editor_advantage_ssh_version,Version SSH,Versão SSH,server_editor_advantage_ssh_version,Версія SSH
174,server_editor_advantage_ssh_startup_auto_command,Auto command,自动命令,Automaticky spouštěný příkaz,Auto-Befehl,Commande automatique,Comando automático,server_editor_advantage_ssh_startup_auto_command,Автоматична команда
175,server_editor_advantage_ssh_startup_auto_kitty_session_tip,Use external configuration by selecting a session file path for KiTTY,输入 KiTTY Portable.exe 的 Session 配置路径可支持更多额外配置,Použijte externí nastavení vybráním popisu umístění souboru s relací pro KiTTY,support external config by select a session file path of KiTTY,prendre en charge la configuration externe en sélectionnant un chemin de fichier de session de KiTTY,Use a configuração externa selecionando um caminho de arquivo de sessão para o KiTTY,server_editor_advantage_ssh_startup_auto_kitty_session_tip,"Використовуйте зовнішню конфігурацію, вибравши шлях до файлу сеансу для KiTTY"
176,server_editor_advantage_sftp_startup_path,Startup path,启动位置,Startovní umístění,Start-Pfad,Chemin de démarrage,Caminho de inicialização,server_editor_advantage_sftp_startup_path,Шлях до запуску
177,server_editor_gateway_mode,Connection,连接设置,Připojení,Verbindung,server_editor_gateway_mode,Conexão,server_editor_gateway_mode,З'єднання
178,server_editor_gateway_mode_automatically_detect,Automatically detect RD Gateway Server settings,自动检测RD网关服务器设置,Automaticky zjistit nastavení serveru brány ke vzdáleným plochám,RD-Gatewayservereinstellungen automatisch ermitteln,Détecter automatiquement les paramètres du serveur RD Gateway,Detectar automaticamente as configurações do Servidor RD Gateway,server_editor_gateway_mode_automatically_detect,Автоматичне визначення параметрів сервера шлюзу віддалених робочих столів
179,server_editor_gateway_mode_use_these,Use the following RD Gateway Server settings,使用下列RD网关服务器设置,Použít následující nastavení pro server brány ke vzdáleným plochám,Diese Einstellungen für RD-Gatewayserver verwenden,Utilisez les paramètres de serveur de passerelle Bureau à distance suivants,Use as seguintes configurações do Servidor RD Gateway,server_editor_gateway_mode_use_these,Використовуйте наступні параметри сервера шлюзу віддалених робочих столів
180,server_editor_gateway_mode_do_not_use,Do not use RD Gateway Server,不使用RD网关服务器,Nepoužívat server brány ke vzdáleným plochám,Keinen Remotedesktop-Gatewayserver verwenden,Ne pas utiliser de serveur de passerelle pour le Bureau à distance,Não use o Servidor RD Gateway,server_editor_gateway_mode_do_not_use,Не використовуйте сервер шлюзу віддалених робочих столів
181,server_editor_gateway_server_host_name,Host Name,服务器地址,Název stroje,Servername,Nom d'hôte,Nome do Host,server_editor_gateway_server_host_name,Ім'я хоста
182,server_editor_gateway_logon_method,Logon Method,登录方法,Způsob přihlašování,Anmeldemethode,Méthode de connexion,Tipo de logon,server_editor_gateway_logon_method,Спосіб входу в систему
183,server_editor_gateway_logon_method_psw,Password,账号密码,Heslo,Kennwort anfordern,Mot de passe,Senha,server_editor_gateway_logon_method_psw,Пароль
184,server_editor_gateway_logon_method_smart_card,Smart Card,智能卡,Čipová karta,Smartcard,Carte à puce,Cartão inteligente,server_editor_gateway_logon_method_smart_card,Смат-картка
185,server_editor_gateway_bypass_gateway_for_local_address,Bypass RD Gateway Server for local address,不对本地地址使用RD网关,Přemostit server brány ke vzdáleným plochám v případě přístupu na místní adresu,Remotedesktop-Gatewayserver für lokale Adressen umgehen,Contourner le serveur de passerelle RD pour l'adresse locale,Ignorar o servidor de RD Gateway para endereço local,server_editor_gateway_bypass_gateway_for_local_address,Обхід сервера шлюзу віддалених робочих столів для отримання локальної адреси
186,server_editor_remote_app_name,App Name,程序名称,Název aplikace,Programm Name,Nom de l'application,Nome do APP,server_editor_remote_app_name,Назва додатку
187,server_editor_remote_app_name_tag,Name of the app (e.g. hello),程序名称的名称（如 hello.exe）,Název aplikace (např. ahoj),Name des Programms (bspw. Hallo),nom de l'application (par exemple bonjour),Nome do aplicativo (ex.: kernel),server_editor_remote_app_name_tag,"Назва програми (наприклад, hello)"
188,server_editor_remote_app_fullname,App Path,服务端路径,Popis umístění aplikace,Pfad zum Programm,Chemin de l'application,Caminho do APP,server_editor_remote_app_fullname,Шлях до додатку
189,server_editor_remote_app_fullname_tag,Full exe path on the server (e.g. C:\Apps\hello.exe),被远程程序在服务器上的路径（如 ' C:\\Apps\\hello.exe'）,Úplný popis umístění spustitelného souboru na serveru (např. C:\Aplikace\ahoj.exe),vollständiger Programm-Pfad auf dem Server (z. B. C:\\Apps\\hallo.exe),Chemin complet de l'éxecutable sur le serveur (par exemple C:\\Apps\\hello.exe),Caminho completo do .exe no servidor (ex.: C:\Apps\kernel.exe),server_editor_remote_app_fullname_tag,Повний шлях до бінарного файлу на сервері (наприклад C:\Apps\hello.exe )
190,about_page_how_to_use,How to use,帮助,Jak používat,Handbuch im Github Wiki,Comment utiliser,Como usar,about_page_how_to_use,Як використовувати
191,about_page_feedback,Feedback,提意见/需求,Podněty vývojářům,about_page_feedback,Retour,Dê seu feedback,about_page_feedback,Відгук
192,guidance_introduce,PRemoteM allows you to open a remote session at any time and anywhere.,PRemoteM 为您管理远程会话，帮您通过启动器快速打开远程桌面,PRemoteM umožňuje navazovat relace na vzdálené stroje – kdykoli a odkudkoli.,Mit PRemoteM können Sie jederzeit und überall eine Remote-Sitzung eröffnen.,PRemoteM vous permet d'ouvrir une session à distance à tout moment et de n'importe où.,O PRemoteM permite que você abra uma sessão remota a qualquer hora e em qualquer lugar.,案内_紹介,PRemoteM дозволяє вам відкрити віддалений сеанс в будь-який час і в будь-якому місці.
193,guidance_feature_launcher_key,call the launcher by,快速呼出启动器,zavolat spouštěč prostřednictvím,Rufen Sie den Launcher auf mit,Appeler le lanceur par,chame os atalhos por,guide_feature_launcher_key,Викликати лаунчер від
194,guidance_feature_launcher_select,select item by,选择项目,vybrat položku prostřednictvím,Server auswählen mit,Sélectionner l'élément par,selecionar item por,guide_feature_launcher_select,Обрати об'єкт від
195,guidance_feature_launcher_connect,connect by,启动会话,připojit prostřednictvím,verbinden mit,Se connecter par,conectar por,guide_feature_launcher_connect,Підключення від
196,guidance_feature_launcher_menu,menu by,弹出菜单,nabídka prostřednictvím,Menüaufruf mit,Menu par,menu por,guide_feature_launcher_menu,Меню від
197,guidance_feature_tab_demo,"Dragable, tearable, dockable remote session for RDP, SSH, VNC, sFTP...","可分离可合并的 RDP, SSH, VNC, sFTP 远程窗体","Přesouvatelné, odtrhovatelné a ukotvitelné vzdálené relace pro RDP, SSH, VNC, sFTP …","Verschiebbare, zerteilbare, andockbare Remote-Sitzung für RDP, SSH, VNC, sFTP...","Session distante Fixable, Découpable et Ancrable pour RDP, SSH, VNC, sFTP ...","Janelas arrastáveis. Sessão remota feita com: RDP, SSH, VNC, sFTP...",guide_feature_tab_demo,"Мультифункциональные сессии RDP,SSH,VNC,sFTP…"
198,guidance_feature_start_setting1,Please confirm some settings before first use.,开始使用前请确认一些配置,"Než začnete používat, potvrďte několik nastavení.",Bitte bestätigen Sie einige Einstellungen vor der Benutzung.,Veuillez confirmer certains paramètres avant de commencer.,Confirme algumas configurações antes do primeiro uso.,guide_feature_start_setting1,"Будь ласка, підтвердіть деякі налаштування перед першим використанням."
199,guidance_feature_start_setting2,You are able to change this setting later in Options.,这些配置稍后同样可以在设置界面中修改,Tato nastavení je možné změnit kdykoli později v Předvolbách.,Sie können diese Einstellung später in den Optionen ändern.,Vous pouvez modifier ce paramètre ultérieurement dans la page Options.,Você pode alterar essa configuração posteriormente em Opções.,guide_feature_start_setting2,Незабаром ви зможете редагувати цей параметр в розділі Параметри.
200,word_oops,Oops...,哎哟喂...,Jejda…,Upps...,word_oops,OOPAA...,word_oops,Хай тобі грець…
201,error_report_unexpected_error_occurred,Unexpected error occurred. Error info is shown below:,程序发生了一些未知错误，详细信息如下：,Došlo k neočekávané chybě. Informace o chybě viz níže:,Unerwarteter Fehler ist aufgetreten. Die Fehlerinformation wird unten angezeigt:,Une erreur inattendue s'est produite. Les informations sur l'erreur sont affichées ci-dessous :,Ocorreu um erro inesperado. As informações do erro são mostradas abaixo:,error_report_unexpected_error_occurred,Сталася непередбачена помилка. Інформація про помилку наведена нижче:
202,error_report_to_clipboard,Copy to clipboard,保存到剪贴板,Zkopírovat do schránky,In die Zwischenablage kopieren,Copier dans le presse-papier,Copiar para área de transferência,error_report_to_clipboard,Скопіювати до буферу обміну
203,error_report_please_help_us_improve,Please help us improve PRemoteM by reporting this error.,请通过反馈这个错误来帮助我们改进 PRemoteM。,Prosíme pomozte nám PRemoteM vylepšit nahlášením této chyby.,"Bitte helfen Sie uns, PRemoteM zu verbessern, indem Sie diesen Fehler melden.",Veuillez nous aider à améliorer PRemoteM en signalant cette erreur.,Ajude-nos a melhorar o PRemoteM relatando este erro.,error_report_please_help_us_improve,"Будь ласка, допоможіть поліпшити Premortem, повідомивши про цю помилку."
204,error_report_how_help_us_improve,Simply copy the error message and choose a way to report it.,只需要复制错误信息，下列任意方式都可进行错误反馈！（QQ群也行:168542318）,Stačí jen zkopírovat tuto chybovou hlášku a zvolit způsob jejíh nahlášení.,"Kopieren Sie einfach die Fehlermeldung und wählen Sie eine der Möglichkeiten, diese zu melden.",Copiez simplement le message d'erreur et choisissez l'une des façons de le signaler.,Basta copiar a mensagem de erro e escolher uma forma de relatar.,error_report_how_help_us_improve,Просто скопіюйте повідомлення про помилку і виберіть спосіб повідомити про нього.
205,error_report_send_by_email,Send by e-mail,通过邮件,Poslat e-mailem e-mail,Per E-Mail senden,Envoyé par email,Enviar por email,error_report_send_by_email,Надіслати електронною поштою
206,error_report_send_by_github,Send by GitHub,通过GitHub,Poslat prostřednictvím portálu GitHub,Senden über Github,Envoyer par GitHub,Enviar pelo GitHub,error_report_send_by_github,Надіслати за допомогою GitHub
207,logo_selector_open_file_dialog_title,select a picture,选择图片,vyberte obrázek,Bild auswählen,sélectionner une image,selecione uma imagem,logo_selector_open_file_dialog_title,Обрати картинку
208,Default,Default,默认,Výchozí,Standard,Défaut,Predefinição,デフォルト,За замовченням
209,Exe path,Exe path,Exe 路径,Popis umístění spustitelného souboru,Exe-Pfad,Chemin exe,Caminho .exe,エグゼパス,Шлях до exe
210,Cmd parameter,CMD parameter,命令行参数,parametry pro příkaz,Cmd-Parameter,CMD paramètre,Parâmetro CMD,コマンド パラメータ,cmd параметр
211,New runner,New runner,新增 runner,Nový spouštěč,New runner,New runner,Novo agente,新しいランナー,Нова группа
212,New runner name,New runner name,新增 runner 名,Název pro nový spouštěč,New runner name,New runner name,Novo nome do agente,新ランナー名,Нове ім'я группи
213,Can not be empty!,Can not be empty!,不能为空！,Je třeba vyplnit!,Kann nicht leer sein!,Ne peux pas être vide!,Não pode estar vazio!,空にすることはできません！,Не може бути порожнім
214,Hosting,Hosting,集成,Hostování,Hosting,Hosting,Hospedar,ホスティング,Хостинг
215,Hosting this exe in PRemoteM tab view?,Hosting this exe in PRemoteM tab windowView?,将该 exe 集成到 PRemoteM 的 tab 视图中?,Hostovat tento spustitelný soubor v PRemoteM panelu windowView?,Hosten Sie diese exe in der PRemoteM-Tab-Ansicht?,Hébergement de cet exe dans l'onglet PRemoteM ?,Hospedar este .exe na guia do PRemoteM?,この exe を PRemoteM タブ ビューでホストしますか?,Розміщення цього exe-файлу в PremoteM вкладці windowView?
216,Caution: some exe can not be hosted in PRemoteM.,"Caution: some exe can not be hosted by PRemoteM, please test by your self.",警告: 某些应用程序无法被集成到 PRemoteM 中，请自行测试。,Upozornění: hostování některých spustitelných souborů pomocí PRemoteM nefunguje – je třeba si vyzkoušet.,"Vorsicht: some exe can not be hosted by PRemoteM, please test by your self.",Attention : certains exe ne peuvent pas être hébergés dans PRemoteM.,"Atenção: alguns .exe não podem ser hospedados pelo PRemoteM, por favor teste por conta própria.",注意: 一部の exe は PRemoteM でホストできません。,"Увага: деякі exe-файли не можуть бути розміщені на PRemoteM, будь ласка, протестуйте самостійно."
217,Show environment variables,Show environment variables,显示环境变量,Zobrazit proměnné prostředí,Show umgebungsvariablen,Afficher les variables d'environnement,Mostrar variáveis de ambiente,環境変数を表示,Показати змінні осередку
218,How to select the specified monitors,How to select the specified monitors,如何选择指定的显示器,Jak vybrat zadané monitory,So wählen Sie die angegebenen Monitore aus,Comment sélectionner les moniteurs spécifiés,Como selecionar os monitores especificados,指定モニターの選択方法,Як обрати конкретні монітори з декількох
219,mstsc.exe mode,mstsc.exe mode,mstsc.exe 模式,režim využívající mstsc.exe,mstsc.exe-Modus,mode mstsc.exe,modo mstsc.exe,mstsc.exe モード,mstsc.exe mode
220,Enabled,Enabled,启用,Zapnuto,Aktiv,Activer,Habilitado,有効,Увімкнено
221,"In this mode RDP will start the session in the way mstsc.exe xxxx.rdp in CMD, it can offer more custom parameters.","In this mode RDP will start the session in the way 'mstsc.exe xxxx.rdp' in CMD, it can offer more custom parameters.",在模式下 RDP 将以 CMD 执行 mstsc.exe xxxx.rdp 的方式启动会话，可提供更多的定制参数,V tomto režimu bude RDP relace spuštěna jako „mstsc.exe xxxx.rdp“ v příkazovém řádku a je možné zadat více parametrů.,"In diesem Modus startet RDP die Sitzung wie mstsc.exe xxxx.rdp in CMD, es kann mehr benutzerdefinierte Parameter anbieten.","Dans ce mode, RDP démarrera la session de la manière mstsc.exe xxxx.rdp dans CMD, il peut offrir plus de paramètres personnalisés.","Nesse modo, o RDP iniciará a sessão da forma 'mstsc.exe xxxx.rdp' no CMD, podendo oferecer mais parâmetros personalizados.",このモードでは、RDP は CMD の mstsc.exe xxxx.rdp の方法でセッションを開始し、より多くのカスタム パラメーターを提供できます。,"У цьому режимі RDP розпочне сеанс так, як mstsc.exe xxxx.rdp у CMD, він може запропонувати більше спеціальних параметрів."
222,Note: This mode will be automatically enabled if there are 2+ monitors with different display scaling on your PC and you selected the full screen mode.,Note: This mode will be automatically enabled if there are 2+ monitors with different display scaling on your PC and you selected the full screen mode.,注意：在全屏模式且当前有多个缩放率不同的显示器时，该模式将被自动启用,Pozn.: Tento režim bude automaticky zapnut pokud je na vašem počítači přítomno dva a více monitorů s různým měřítkem zobrazení a vybrali jste režim na celou obrazovku.,"Hinweis: Dieser Modus wird automatisch aktiviert, wenn mehr als 2 Monitore mit unterschiedlicher Anzeigeskalierung auf Ihrem PC vorhanden sind und Sie den Vollbildmodus ausgewählt haben.",Remarque : Ce mode sera automatiquement activé s'il y a plus de 2 moniteurs avec une mise à l'échelle d'affichage différente sur votre PC et que vous avez sélectionné le mode plein écran.,Nota: Este modo será ativado automaticamente se houver mais de 2 monitores com escala de exibição diferente em seu PC e você selecionou o modo de tela cheia.,注: このモードは、PC に表示スケーリングが異なる 2 つ以上のモニターがあり、全画面表示モードを選択した場合、自動的に有効になります。,"Примітка. Цей режим буде автоматично ввімкнено, якщо на вашому комп’ютері є 2+ монітори з різним масштабом відображення, і ви вибрали повноекранний режим."
223,Additional settings,Additional settings,额外指令,Další nastavení,Zusätzliche Einstellungen,Paramètres additionnels,Configurações adicionais,追加の設定,Додаткові налаштування
224,Helper,Helper,助手,Pomocné,Helfer,Assistant,Ajudante,ヘルパー,Помічник
225,Preview,Preview,预览,Náhled,Vorschau,Aperçu,Visualizar,プレビュー,Попередній перегляд 
226,Preview rdp file,Preview rdp file,预览RDP文件,Náhled rdp souboru,Vorschau der RDP-Datei,Aperçu du fichier rdp,Visualizar arquivo RDP,rdp ファイルのプレビュー,Попередній перегляд файлу rdp
227,Check monitor number,Check monitor number,查看显示器编号,Zkontrolovat počet monitorů,Überprüfen Sie die Monitornummer,Vérifier le numéro du moniteur,Verifique o número do monitor,モニター番号の確認,Перевірити номер монітору
228,Add environment variables,Add environment variables,添加环境变量,Přidat proměnné prostředí,Fügen Sie Umgebungsvariablen hinzu,Ajouter des variables d'environnement,Adicionar variáveis de ambiente,環境変数を追加する,Додати зміну осередку
229,Selected,Selected,选中,Vybráno,Ausgewählt,Choisi,Selecionado,選択済み,Обраний
230,Custom,Custom,定制,Uživatelsky určené,Benutzerdefiniert,Coutume,Personalizado,カスタム,Кастомізація
231,write permissions alert,"We don't have write permissions for the `{0}` directory!
Please try:
1. run as administrator
2. change directory or file permissions 
3. move PRemoteM to another folder","我们没有路径 `{0}` 的写入权限！
请尝试用以下方法修复问题：
1. 使用管理员权限运行程序
2. 修改路径的权限设置 
3. 将 PRemoteM 移动到其他目录","
Chybí oprávnění pro zápis do složky „{0}“!
Vyzkoušejte:
1. spustit coby správce
2. upravit práva na souboru a/nebo složce
3. přesunout PRemoteM do jiné složky",Schreibberechtigungswarnung,alerte d'autorisation d'écriture,"Não temos permissões de gravação para o diretório `{0}`!
Por favor, tente:
1. `Executar como administrador`
2. Alterar as permissões de diretório/arquivo 
3. Mover o PREmoteM para outra pasta",書き込み権限アラート,"Ми не маємо дозволу для взаємодії з директорією '{0}'!
Будь-ласка, спробуйте: 
1. Відкрийте з привилегіями адміністратора; 
2. Змініть директорію або конфігурацію розподілу прав стосовно папки;
3. Пересуньте PRemoteM до іншої директорії"
232,Follow system,Follow system(Supported server: Windows Server 2012 R2 and above),跟随系统(服务器要求Windows Server 2012 R2及以上),Stejně jako v systému (podporovaný server: Windows Server 2012 R2 a novější),Folgen des Systems(Unterstützter Server: Windows Server 2012 R2 und höher),Suivre le système(Serveur pris en charge: Windows Server 2012 R2 et supérieur),Seguir o sistema (Servidor Compatível com Windows Server 2012 R2 e superior),フォローシステム,Слідкувати за системою (Підтримуваний сервер: Windows server 2012 R2 і вище)
233,Scale,Scale,缩放,Měřítko,Skala,Échelle,Tamanho,規模,Масштаб
234,tag_tooltips,Left click : set this tag as filter{0}Ctrl + Left click : add this tag to the include list {0}Ctrl + Right click : add this tag to the exclude list,鼠标左键: 筛选出该标签{0}Ctrl + 鼠标左键 : 将该标签添加到筛选列表 {0}Ctrl + 鼠标右键 : 将该标签添加到排除列表,Kliknutí levým tlačítkem: nastavit tento štítek jako filter{0}Ctrl + kliknutí levým tlačítkem: přidat tento štítek do seznamu zahrnutých {0}Ctrl + kliknutí pravým tlačítkem: přidat tento štítek do seznamu vynechaných,tag_tooltips,tag_tooltips,Clique com o botão esquerdo : defina esta tag como filtro{0}Ctrl + clique com o botão esquerdo : adicione esta tag à lista de inclusão {0}Ctrl + clique com o botão direito : adicione esta tag à lista de exclusão,tag_tooltips,"Клік лівою кнопкою миші: встановіть поточний тег в якості фільтра
{0}Ctrl + Клік лівою кнопкою миші: додасть поточни тег до білого переліку
{0}Ctrl + Клік правою кнопкою миші додасть поточний тег до переліку, що потрібно ігнорувати"
235,Are you sure you want to close the connection?,Are you sure you want to close the connection?,确定要关闭连接么？,Opravdu chcete spojení zavřít?,Möchten Sie die Verbindung wirklich beenden?,Voulez-vous vraiment fermer la connexion?,Tem certeza de que deseja encerrar a conexão?,接続を閉じてもよろしいですか?,"Чи ви впевнені, що бажаете зачинити з'єднання?"
236,"Hi there,","Hi there,",你好呀！,"Zdravím,","Hi,","Bonjour à tous,","E ai,",やあ、,"Мої вітання,"
237,"I hope that you find this app useful. If you would like to support my work, you can buy me a coffee or give a nice review. Thanks!","I hope that you find this app useful. If you would like to support my work, you can buy me a coffee or give a nice review. Thanks!",希望你觉得这个 APP 还有点用处。如果你想支持我的工作，可以给我买杯咖啡或给我一个好评，如果有任何改进建议欢迎通过 Github 反馈（QQ群也行:168542318）。谢啦！,"Doufám, že vám tato aplikace bude užitečná. Pokud chcete mou práci podpořit, můžete mi koupit kafe nebo napsat pozitivní recenzi. Díky!","Ich hoffe, dass Sie diese App nützlich finden. Wenn Sie meine Arbeit unterstützen möchten, können Sie mir einen Kaffee spendieren oder eine nette Bewertung abgeben. Vielen Dank!","J'espère que vous trouverez cette application utile. Si vous souhaitez soutenir mon travail, vous pouvez m'offrir un café ou donner une belle critique. Merci!","Espero que ache este APP útil! Se quiser apoiar meu trabalho pode me pagar um cerveja ou me dar um elogio, obrigado!",このアプリがお役に立てば幸いです。私の仕事をサポートしたい場合は、私にコーヒーを買うか、良いレビューをしてください.ありがとう！,"Я сподіваюсь, що додаток стане вам у нагоді. Якщо ви бажаєте підтримати мою працю, то ви можете пригостити мене кавою або залишити гарний відгук. Дякую!"
238,Give suggestions,Give suggestions,提点意见,Podělit se o nápady,Geben Sie Anregungen,Faire des suggestions,Me dê sugestões,提案する,Надати пропозицію
239,Buy a coffee,Buy a coffee,买杯咖啡,Koupit kafe,Kaffee kaufen,Acheter un café,Me pague uma cerveja,コーヒーを買う,Пригостити кавою
