key,en-us,zh-cn,de-de,fr-fr,pt-br,ja-jp
error_report_please_help_us_improve,Please help us improve PRemoteM by reporting this error.,请通过反馈这个错误来帮助我们改进 PRemoteM。,"Bitte helfen Sie uns, PRemoteM zu verbessern, indem Sie diesen Fehler melden.",Veuillez nous aider à améliorer PRemoteM en signalant cette erreur.,Ajude-nos a melhorar o PRemoteM relatando este erro.,
error_report_how_help_us_improve,Simply copy the error message and choose a way to report it.,只需要复制错误信息，并通过下列任意方式即可完成错误反馈！,"Kopieren Sie einfach die Fehlermeldung und wählen Sie eine der Möglichkeiten, diese zu melden.",Copiez simplement le message d'erreur et choisissez l'une des façons de le signaler.,Basta copiar a mensagem de erro e escolher uma forma de relatar.,
error_report_send_by_email,Send by e-mail,通过邮件,Per E-Mail senden,Envoyé par email,Enviar por email,
error_report_send_by_github,Send by GitHub,通过GitHub,Senden über Github,Envoyer par GitHub,Enviar pelo GitHub,
logo_selector_open_file_dialog_title,select a picture,选择图片,Bild auswählen,sélectionner une image,selecione uma imagem,
Default,Default,默认,,Défaut,Predefinição,
Exe path,Exe path,Exe 路径,,,Caminho .exe,
Cmd parameter,CMD parameter,命令行参数,,CMD paramètre,Parâmetro CMD,
New runner,New runner,新增 runner,New runner,New runner,Novo agente,
New runner name,New runner name,新增 runner 名,New runner name,New runner name,Novo nome do agente,
Can not be empty!,Can not be empty!,不能为空！,,,Não pode estar vazio!,
Hosting,Hosting,集成,Hosting,Hosting,Hospedar,
Hosting this exe in PRemoteM tab view?,Hosting this exe in PRemoteM tab windowView?,将该 exe 集成到 PRemoteM 的 tab 视图中?,,,Hospedar este .exe na guia do PRemoteM?,
Caution: some exe can not be hosted in PRemoteM.,"Caution: some exe can not be hosted by PRemoteM, please test by your self.",警告: 某些应用程序无法被集成到 PRemoteM 中，请自行测试。,"Vorsicht: some exe can not be hosted by PRemoteM, please test by your self.",,"Atenção: alguns .exe não podem ser hospedados pelo PRemoteM, por favor teste por conta própria.",
Show environment variables,Show environment variables,显示环境变量,Show umgebungsvariablen,,Mostrar variáveis de ambiente,
How to select the specified monitors,How to select the specified monitors,如何选择指定的显示器,So wählen Sie die angegebenen Monitore aus,,Como selecionar os monitores especificados,
mstsc.exe mode,mstsc.exe mode,mstsc.exe 模式,,,modo mstsc.exe,
Enabled,Enabled,启用,Aktiv,Activer,Habilitado,
"In this mode RDP will start the session in the way mstsc.exe xxxx.rdp in CMD, it can offer more custom parameters.","In this mode RDP will start the session in the way 'mstsc.exe xxxx.rdp' in CMD, it can offer more custom parameters.",在模式下 RDP 将以 CMD 执行 mstsc.exe xxxx.rdp 的方式启动会话，可提供更多的定制参数,,,"Nesse modo, o RDP iniciará a sessão da forma 'mstsc.exe xxxx.rdp' no CMD, podendo oferecer mais parâmetros personalizados.",
Note: This mode will be automatically enabled if there are 2+ monitors with different display scaling on your PC and you selected the full screen mode.,Note: This mode will be automatically enabled if there are 2+ monitors with different display scaling on your PC and you selected the full screen mode.,注意：在全屏模式且当前有多个缩放率不同的显示器时，该模式将被自动启用,,,Nota: Este modo será ativado automaticamente se houver mais de 2 monitores com escala de exibição diferente em seu PC e você selecionou o modo de tela cheia.,
Additional settings,Additional settings,额外指令,,,Configurações adicionais,
Helper,Helper,助手,,,Ajudante,
Preview,Preview,预览,,,Visualizar,
Preview rdp file,Preview rdp file,预览RDP文件,,,Visualizar arquivo RDP,
Check monitor number,Check monitor number,查看显示器编号,,,Verifique o número do monitor,
Environment variables,Environment variables,环境变量,Umgebungsvariablen,,Variáveis de ambiente,
Add environment variables,Add environment variables,添加环境变量,Fügen Sie Umgebungsvariablen hinzu,,Adicionar variáveis de ambiente,
Selected,Selected,选中,Ausgewählt,,Selecionado,
Custom,Custom,定制,Benutzerdefiniert,Coutume,Personalizado,
write permissions alert,"We don't have write permissions for the `{0}` directory!
Please try:
1. run as administrator
2. change directory or file permissions 
3. move PRemoteM to another folder","我们没有路径 `{0}` 的写入权限！
请尝试用以下方法修复问题：
1. 使用管理员权限运行程序
2. 修改路径的权限设置 
3. 将 PRemoteM 移动到其他目录",,,"Não temos permissões de gravação para o diretório `{0}`!
Por favor, tente:
1. `Executar como administrador`
2. Alterar as permissões de diretório/arquivo 
3. Mover o PREmoteM para outra pasta",
Follow system,Follow system(Supported server: Windows Server 2012 R2 and above),跟随系统(服务器要求Windows Server 2012 R2及以上),Folgen des Systems(Unterstützter Server: Windows Server 2012 R2 und höher),Suivre le système(Serveur pris en charge: Windows Server 2012 R2 et supérieur),Seguir o sistema (Servidor Compatível com Windows Server 2012 R2 e superior),
Scale,Scale,缩放,,,Tamanho,
tag_tooltips,Left click : set this tag as filter{0}Ctrl + Left click : add this tag to the include list {0}Ctrl + Right click : add this tag to the exclude list,鼠标左键: 筛选出该标签{0}Ctrl + 鼠标左键 : 将该标签添加到筛选列表 {0}Ctrl + 鼠标右键 : 将该标签添加到排除列表,,,Clique com o botão esquerdo : defina esta tag como filtro{0}Ctrl + clique com o botão esquerdo : adicione esta tag à lista de inclusão {0}Ctrl + clique com o botão direito : adicione esta tag à lista de exclusão,
Are you sure you want to close the connection?,Are you sure you want to close the connection?,确定要关闭连接么？,Möchten Sie die Verbindung wirklich beenden?,Voulez-vous vraiment fermer la connexion?,Tem certeza de que deseja encerrar a conexão?,
"Hi there,","Hi there,",你好呀！,,,"E ai,",
"I hope that you find this app useful. If you would like to support my work, you can buy me a coffee or give a nice review. Thanks!","I hope that you find this app useful. If you would like to support my work, you can buy me a coffee or give a nice review. Thanks!",希望你觉得这个APP还有点用处。如果你想支持我的工作，可以给我买杯咖啡或给我一个好评。谢啦！,,,"Espero que ache este APP útil! Se quiser apoiar meu trabalho pode me pagar um cerveja ou me dar um elogio, obrigado!",
Give suggestions,Give suggestions,提点意见,,,Me dê sugestões,
Buy a coffee,Buy a coffee,买杯咖啡,,,Me pague uma cerveja,
Give nice review,Give nice review,给个好评,,,Me dê um elogio,
Do not show this again in current version,Do not show this again in current version,当前版本不再显示,,,Não mostrar isso novamente na versão atual,
User profile,User profile,用户配置,Benutzerprofil,Profil de l'utilisateur,Perfil de usuário,
Portable mode,Portable mode,便携模式,Tragbarer Modus,Mode portable,Modo portátil,
Profile is saved where executable is located,Profile is saved where executable is located,配置文件保存在可执行文件所在文件夹,"Das Profil wird dort gespeichert, wo sich die ausführbare Datei befindet",Le profil est enregistré là où est situé,O perfil é salvo onde o executável está localizado,
Install for current windows account,Install for current windows account,为当前 Windows 用户配置,Installieren Sie für das aktuelle Windows -Konto,Installer pour le compte Windows actuel,Instale para a conta atual do Windows,
Profile is saved in your Windows AppData folder,Profile is saved in your Windows AppData folder,配置文件保存在 Windows AppData 文件夹,Das Profil wird in Ihrem Windows AppData -Ordner gespeichert,Le profil est enregistré dans votre dossier Windows AppData,O perfil é salvo na sua pasta Windows AppData,
